City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,belmonte,-15.8631,-38.8828,295.59,84,58,3.4,BR,1727502661
166,anadyr,64.75,177.4833,276.43,69,75,3.0,RU,1727502662
167,halifax,44.6453,-63.5724,287.84,92,86,4.02,CA,1727502351
168,camacupa,-12.0167,17.4833,294.04,33,83,1.61,AO,1727502664
169,pariaman,-0.619,100.12,298.18,71,74,3.08,ID,1727502665
170,weno,7.4515,151.8468,304.12,84,75,1.54,FM,1727502666
171,holualoa,19.6228,-155.9522,297.35,87,76,1.18,US,1727502667
172,mairi,-11.7114,-40.1489,291.6,96,67,1.31,BR,1727502669
173,saldanha,-33.0117,17.9442,285.18,82,47,3.98,ZA,1727502670
174,extrema,-22.8547,-46.3183,286.76,96,100,2.25,BR,1727502439
175,praia da vitoria,38.7333,-27.0667,296.29,83,20,6.95,PT,1727502672
176,lib,8.3122,167.3766,301.64,75,47,2.59,MH,1727502673
177,leticia,-4.2153,-69.9406,296.18,100,20,1.03,CO,1727502674
178,guerrero negro,27.9769,-114.0611,291.89,89,4,7.57,MX,1727502675
179,ancud,-41.8697,-73.8203,282.86,90,100,7.38,CL,1727502676
180,vila velha,-20.3297,-40.2925,297.12,84,0,2.57,BR,1727502677
181,mbandaka,0.0487,18.2603,295.32,95,100,1.68,CD,1727502678
182,jamestown,42.097,-79.2353,291.49,88,75,3.6,US,1727502592
183,branson,36.6437,-93.2185,293.08,63,0,5.14,US,1727502680
184,hilo,19.7297,-155.09,296.45,98,100,4.12,US,1727502681
185,klerksdorp,-26.8521,26.6667,295.45,18,97,5.68,ZA,1727502683
186,yarmouth,41.7057,-70.2286,289.6,95,0,0.45,US,1727502684
187,harnai,30.1005,67.9374,305.36,24,0,1.68,PK,1727502685
188,constantia,44.1833,28.65,291.53,78,0,5.71,RO,1727502657
189,nogent-le-rotrou,48.3333,1.0,281.08,86,61,2.62,FR,1727502687
190,jijiga,9.35,42.8,295.03,63,70,3.55,ET,1727502688
191,bangassou,4.7413,22.8184,294.39,97,94,1.9,CF,1727502689
192,oranjestad,12.524,-70.027,302.12,80,20,3.09,AW,1727502690
193,jodhpur,26.2867,73.03,305.01,58,81,3.55,IN,1727502691
194,saint-pierre,-21.3393,55.4781,298.97,57,0,3.09,RE,1727502692
195,timmins,48.4669,-81.3331,284.05,93,0,1.54,CA,1727502432
196,mahdia,35.5047,11.0622,298.41,76,1,5.84,TN,1727502695
197,vanino,49.0869,140.2543,288.59,68,12,2.98,RU,1727502696
198,nuku'alofa,-21.1333,-175.2,298.34,83,20,3.09,TO,1727502697
199,yacimiento rio turbio,-51.5732,-72.3508,270.07,94,47,3.94,AR,1727502698
200,songkhla,6.8333,100.6667,303.68,70,46,0.82,TH,1727502699
201,saudarkrokur,65.7461,-19.6394,274.61,78,97,0.92,IS,1727502701
202,papatowai,-46.5619,169.4708,283.97,67,94,9.2,NZ,1727502702
203,hastings,50.8552,0.5729,278.81,81,0,4.79,GB,1727502703
204,novyy urgal,51.0736,132.5642,288.68,61,93,2.85,RU,1727502704
205,fortuna foothills,32.6578,-114.4119,306.2,18,0,0.45,US,1727502706
206,iqaluit,63.7506,-68.5145,277.0,93,75,1.54,CA,1727502707
207,kokstad,-30.5472,29.4241,292.8,29,65,2.21,ZA,1727502708
208,sompeta,18.9333,84.6,304.13,68,88,4.37,IN,1727502709
209,ceccano,41.5677,13.3333,294.73,95,87,0.97,IT,1727502710
210,hanzhong,33.0728,107.0303,300.22,45,93,2.91,CN,1727502711
211,newman,37.3138,-121.0208,294.29,53,0,1.34,US,1727502712
212,palembang,-2.9167,104.7458,305.2,58,75,3.6,ID,1727502713
213,pontianak,-0.0333,109.3333,306.14,58,75,3.6,ID,1727502714
214,crane,31.3974,-102.3501,297.46,38,0,3.46,US,1727502715
215,kalmunai,7.4167,81.8167,304.39,62,96,5.54,LK,1727502716
216,scone,56.4194,-3.4051,279.42,79,98,2.11,GB,1727502717
217,conceicao da barra,-18.5933,-39.7322,296.04,82,0,3.76,BR,1727502719
218,aljezur,37.3191,-8.8033,284.71,77,9,3.79,PT,1727502720
219,watsa,3.0372,29.5355,293.66,88,94,0.15,CD,1727502721
220,kodinsk,58.6881,99.1844,276.73,68,100,2.2,RU,1727502722
221,mil'kovo,55.6078,37.7956,287.94,72,100,6.43,RU,1727502723
222,kruisfontein,-34.0033,24.7314,289.6,72,100,4.73,ZA,1727502724
223,qaqortoq,60.7167,-46.0333,276.24,87,84,0.94,GL,1727502725
224,talalayivka,50.9578,31.9209,293.09,60,8,7.43,UA,1727502726
225,miyang,24.4042,103.4428,297.99,71,93,3.59,CN,1727502727
226,tetyushi,54.9382,48.8366,288.05,40,100,8.81,RU,1727502728
227,freeland,43.525,-84.1228,292.21,79,0,5.66,US,1727502729
228,adigrat,14.277,39.462,293.06,32,5,2.89,ET,1727502730
229,sussex,41.1834,-74.6663,291.62,86,100,3.09,US,1727502731
230,lexington,37.9887,-84.4777,293.05,89,100,1.79,US,1727502572
231,yabelo,4.8833,38.0833,292.45,60,79,3.95,ET,1727502734
232,tura,25.5198,90.2201,299.96,90,87,1.71,IN,1727502735
233,moose jaw,50.4001,-105.5344,282.29,57,0,1.54,CA,1727502736
234,sabang,5.8933,95.3214,300.25,77,100,4.34,ID,1727502737
235,uturoa,-16.7333,-151.4333,299.73,79,10,6.57,PF,1727502738
236,novouzensk,50.4592,48.1431,290.7,25,0,6.01,RU,1727502739
237,plastun,44.7561,136.2939,290.1,70,2,2.81,RU,1727502740
238,ilam,26.9167,87.9167,293.33,96,100,1.94,NP,1727502741
239,les anglais,18.3054,-74.2197,298.63,82,88,0.72,HT,1727502742
240,seminole,28.7086,-81.2081,299.35,79,0,2.57,US,1727502743
241,remire-montjoly,4.9167,-52.2667,298.17,94,40,0.0,GF,1727502744
242,yuzhno-kurilsk,44.0306,145.8556,289.14,95,100,5.67,RU,1727502745
243,taltal,-25.4,-70.4833,286.2,83,17,0.59,CL,1727502747
244,san luis,-33.295,-66.3356,288.1,36,57,3.3,AR,1727502748
245,xiangcheng chengguanzhen,33.847,113.4778,303.88,46,84,4.78,CN,1727502749
246,tocopilla,-22.092,-70.1979,288.67,77,15,1.03,CL,1727502750
247,tofol,5.3248,163.0078,302.61,69,75,3.98,FM,1727502751
248,banjarmasin,-3.3244,114.591,307.23,50,50,2.85,ID,1727502328
249,quellon,-43.1167,-73.6167,281.49,94,90,5.25,CL,1727502753
250,ghat,24.9647,10.1728,303.67,29,9,3.73,LY,1727502754
251,chudovo,59.1167,31.6833,287.12,81,82,4.87,RU,1727502755
252,gobabis,-22.45,18.9667,298.02,28,97,5.3,NA,1727502608
253,paramonga,-10.6667,-77.8333,289.67,89,66,2.81,PE,1727502757
254,margaret river,-33.95,115.0667,287.2,56,76,5.57,AU,1727502758
255,kharp,66.8014,65.8081,284.31,75,91,2.27,RU,1727502759
256,leini,45.1828,7.7142,285.21,74,0,0.51,IT,1727502760
257,vorkuta,67.5,64.0,282.5,89,100,6.13,RU,1727502762
258,grand-bassam,5.2118,-3.7388,298.13,91,100,2.31,CI,1727502763
259,malabar,-33.9667,151.25,291.22,69,92,6.03,AU,1727502764
260,yala,6.3333,101.25,303.75,71,36,1.22,TH,1727502765
261,rio grande,-32.035,-52.0986,286.83,89,3,1.71,BR,1727502767
262,kapa'a,22.0752,-159.319,299.33,83,40,5.66,US,1727502768
263,ibiruba,-28.6275,-53.0897,284.07,93,0,2.42,BR,1727502770
264,sitka,57.0531,-135.33,282.09,87,100,3.6,US,1727502771
265,khovd,48.0056,91.6419,278.0,41,95,4.68,MN,1727502772
266,badger,64.8,-147.5333,275.21,98,40,1.54,US,1727502773
267,champerico,14.3,-91.9167,298.53,87,100,3.67,GT,1727502775
268,iwanai,42.9744,140.5089,293.07,66,12,3.47,JP,1727502518
269,kill devil hills,36.0307,-75.676,298.16,94,40,4.63,US,1727502777
270,pacanga,-7.1667,-79.5,290.68,82,99,1.68,PE,1727502778
271,whangarei,-35.7317,174.3239,286.04,65,4,2.64,NZ,1727502746
272,chonchi,-42.6128,-73.8092,282.66,98,88,2.32,CL,1727502780
273,littlefield,33.9173,-102.3249,291.13,53,4,1.94,US,1727502781
274,walvis bay,-22.9575,14.5053,288.68,82,40,2.57,NA,1727502782
275,floro,61.5996,5.0328,276.13,93,75,3.6,NO,1727502783
276,kimbe,-5.5502,150.1429,300.83,86,69,1.74,PG,1727502785
277,polyarnyy,69.1989,33.4478,280.32,98,100,8.09,RU,1727502786
278,san patricio,28.017,-97.5169,295.12,70,0,2.02,US,1727502787
279,tabuk,17.4189,121.4443,301.11,82,98,1.63,PH,1727502788
280,dubbo,-32.25,148.6167,294.22,43,2,8.23,AU,1727502789
